"l3","barrio"
"Abasto","medio"
"Agronomía","medio"
"Almagro","medio"
"Balvanera","bajo"
"Barracas","medio"
"Barrio Norte","alto"
"Belgrano","alto"
"Boca","bajo"
"Boedo","bajo"
"Caballito","medio"
"Catalinas","medio"
"Centro / Microcentro","bajo"
"Chacarita","medio"
"Coghlan","alto"
"Colegiales","alto"
"Congreso","bajo"
"Constitución","bajo"
"Flores","medio"
"Floresta","bajo"
"Las Cañitas","alto"
"Liniers","medio"
"Mataderos","bajo"
"Monserrat","bajo"
"Monte Castro","medio"
"Nuñez","alto"
"Once","bajo"
"Palermo","alto"
"Parque Avellaneda","bajo"
"Parque Centenario","medio"
"Parque Chacabuco","bajo"
"Parque Chas","medio"
"Parque Patricios","bajo"
"Paternal","bajo"
"Pompeya","bajo"
"Puerto Madero","alto"
"Recoleta","alto"
"Retiro","alto"
"Saavedra","alto"
"San Cristobal","bajo"
"San Nicolás","bajo"
"San Telmo","medio"
"Tribunales","bajo"
"Velez Sarsfield","bajo"
"Versalles","bajo"
"Villa Crespo","medio"
"Villa del Parque","medio"
"Villa Devoto","medio"
"Villa General Mitre","medio"
"Villa Lugano","bajo"
"Villa Luro","medio"
"Villa Ortuzar","medio"
"Villa Pueyrredón","medio"
"Villa Real","medio"
"Villa Riachuelo","bajo"
"Villa Santa Rita","medio"
"Villa Soldati","bajo"
"Villa Urquiza","alto"
